"site_name","site_id","trap_type","site_dep","depth_m","clean_lat","clean_long","lat_deg","lat_min","long_deg","long_min","lat_dd","long_dd"
"134 FAD","134F","ML","134F-ML",39.1,"24°45.9996","080°42.5401",24,45.9996,80,42.5401,24.76666,-80.7090016666667
"Sahara ","SA","GT","SA-GT",33.5,"24°44.6371","080°45.8371",24,44.6371,80,45.8371,24.7439516666667,-80.7639516666667
"Sahara","SA","ML","SA-ML",33.5,"24°44.6406","080°45.8400",24,44.6406,80,45.84,24.74401,-80.764
"Ghost Lobster","GL","GT","GL-GT",43.9,"24°43.3980","080°46.9925",24,43.398,80,46.9925,24.7233,-80.7832083333333
"Ghost Lobster","GL","ML","GL-ML",43.9,"24°43.3953","080°46.9977",24,43.3953,80,46.9977,24.723255,-80.783295
"In Between Cannabis and GL ","CGL","GT","CGL-GT",37.1,"24°49.4299","080°38.4749",24,49.4299,80,38.4749,24.8238316666667,-80.6412483333333
"In Between Cannabis and GL ","CGL","ML","CGL-ML",37.1,"24°49.4294","080°38.4868",24,49.4294,80,38.4868,24.8238233333333,-80.6414466666667
"Luke's Arrow Crab","LAC","GT","LAC-GT",34.4,"24°49.2568","080°38.7436",24,49.2568,80,38.7436,24.8209466666667,-80.6457266666667
"Luke's Arrow Crab ","LAC","ML","LAC-ML",34.4,"24°49.2486","080°38.7577",24,49.2486,80,38.7577,24.82081,-80.6459616666667
"Spaceship ","SS","GT","SS-GT",39.1,"24°49.0840","080°38.6966",24,49.084,80,38.6966,24.8180666666667,-80.6449433333333
"Spaceship ","SS","ML","SS-ML",39.1,"24°49.0880","080°38.7034",24,49.088,80,38.7034,24.8181333333333,-80.6450566666667
"Engine ","EG","GT","EG-GT",33.8,"24°49.4492","080°38.5606",24,49.4492,80,38.5606,24.8241533333333,-80.6426766666667
"Engine ","EG","ML","EG-ML",33.8,"24°49.4409","080°38.5737",24,49.4409,80,38.5737,24.824015,-80.642895
"Drop Deep ","DD","GT","DD-GT",35.7,"24°51.6026","080°34.9736",24,51.6026,80,34.9736,24.8600433333333,-80.5828933333333
"Drop Deep ","DD","ML","DD-ML",35.7,"24°51.6073","080°34.9622",24,51.6073,80,34.9622,24.8601216666667,-80.5827033333333
"Alligator East ","AE","GT","AE-GT",31.7,"24°50.7415","080°36.6058",24,50.7415,80,36.6058,24.8456916666667,-80.6100966666667
"Alligator East ","AE","ML","AE-ML",31.7,"24°50.7437","080°36.6090",24,50.7437,80,36.609,24.8457283333333,-80.61015
"Alligator West","AW","GT","AW-GT",32.1,"24°50.4839","080°37.0613",24,50.4839,80,37.0613,24.8413983333333,-80.6176883333333
"Alligator West ","AW","ML","AW-ML",32.1,"24°50.4780","080°37.0636",24,50.478,80,37.0636,24.8413,-80.6177266666667
"Coral Drop ","CD","GT","CD-GT",31.1,"24°51.6814","080°35.0879",24,51.6814,80,35.0879,24.8613566666667,-80.5847983333333
"Coral Drop","CD","ML","CD-ML",31.1,"24°51.7040","080°35.0575",24,51.704,80,35.0575,24.8617333333333,-80.5842916666667
"105 Reef ","105R","GT","105R-GT",30.8,"24°53.6745","080°32.1029",24,53.6745,80,32.1029,24.894575,-80.5350483333333
"105 Reef","105R","ML","105R-ML",30.8,"24°53.6730","080°32.0964",24,53.673,80,32.0964,24.89455,-80.53494
"Tim's Mutton West","TMW","GT","TMW-GT",35.9,"24°57.8444","080°26.0851",24,57.8444,80,26.0851,24.9640733333333,-80.4347516666667
"Tim's Mutton West","TMW","ML","TMW-ML",35.9,"24°57.8370","080°26.0928",24,57.837,80,26.0928,24.96395,-80.43488
"Tim's Mutton East","TME","GT","TME-GT",32.9,"24°57.9938","080°25.7593",24,57.9938,80,25.7593,24.9665633333333,-80.4293216666667
"Tim's Mutton East ","TME","ML","TME-ML",32.9,"24°58.0067","080°25.7572",24,58.0067,80,25.7572,24.9667783333333,-80.4292866666667
"The Crane ","TC","GT","TC-GT",35.7,"24°59.2286","080°22.4162",24,59.2286,80,22.4162,24.9871433333333,-80.3736033333333
"The Crane ","TC","ML","TC-ML",35.7,"24°59.2368","080°22.4082",24,59.2368,80,22.4082,24.98728,-80.37347
"Lots Lions","LL","GT","LL-GT",30.7,"24°44.4777","080°46.3781",24,44.4777,80,46.3781,24.741295,-80.7729683333333
"Lots Lions","LL","ML","LL-ML",30.7,"24°44.4894","080°46.3710",24,44.4894,80,46.371,24.74149,-80.77285
"Jawfish Spawn","JS","GT","JS-GT",36.5,"24°43.7870"," 080°47.1720",24,43.787,80,47.172,24.7297833333333,-80.7862
"Jawfish Spawn","JS","ML","JS-ML",36.5,"24°43.7980","080°47.1700",24,43.798,80,47.17,24.7299666666667,-80.7861666666667
"Grey Spot","GS","GT","GS-GT",34.4,"24°43.6679","080°47.7677",24,43.6679,80,47.7677,24.7277983333333,-80.7961283333333
"Grey Spot","GS","ML","GS-ML",34.4,"24°43.6621","080°47.7640",24,43.6621,80,47.764,24.7277016666667,-80.7960666666667
"Big Head Todd","BHT","GT","BHT-GT",33.8,"24°43.5814","080°48.1465",24,43.5814,80,48.1465,24.7263566666667,-80.8024416666667
"Big Head Todd","BHT","ML","BHT-ML",33.8,"24°43.5792","080°48.1548",24,43.5792,80,48.1548,24.72632,-80.80258
"Off Day West","ODW","GT","ODW-GT",39.6,"24°55.1849","080°29.4464",24,55.1849,80,29.4464,24.9197483333333,-80.4907733333333
"Off Day West ","ODW","ML","ODW-ML",39.6,"24°55.1928","080°29.4564",24,55.1928,80,29.4564,24.91988,-80.49094
"Off Day East ","ODE","GT","ODE-GT",35.9,"24°55.0810","080°29.6920",24,55.081,80,29.692,24.9180166666667,-80.4948666666667
"Off Day East ","ODE","ML","ODE-ML",35.9,"24°55.0776","080°29.6994",24,55.0776,80,29.6994,24.91796,-80.49499
"Teddy Black ","TB","GT","TB-GT",33.2,"24°54.8368","080°29.9893",24,54.8368,80,29.9893,24.9139466666667,-80.4998216666667
"Teddy Black ","TB","ML","TB-ML",33.2,"24°54.8341","080°29.9971",24,54.8341,80,29.9971,24.9139016666667,-80.4999516666667
"Mystery Ledge ","ML","GT","ML-GT",36.2,"24°54.6602","080°30.2665",24,54.6602,80,30.2665,24.9110033333333,-80.5044416666667
"Mystery Ledge ","ML","ML","ML-ML",36.2,"24°54.6541","080°30.2717",24,54.6541,80,30.2717,24.9109016666667,-80.5045283333333
"Deep Pickles West ","DPW","GT","DPW-GT",39.6,"24°58.7356","080°24.5273",24,58.7356,80,24.5273,24.9789266666667,-80.4087883333333
"Deep Pickles West ","DPW","ML","DPW-ML",39.6,"24°58.7334","080°24.5178",24,58.7334,80,24.5178,24.97889,-80.40863
"Deep Pickles East ","DPE","GT","DPE-GT",36.3,"24°58.9403","080°24.3467",24,58.9403,80,24.3467,24.9823383333333,-80.4057783333333
"Deep Pickles East ","DPE","ML","DPE-ML",36.3,"24°58.9550","080°24.3455",24,58.955,80,24.3455,24.9825833333333,-80.4057583333333
"Staceyfish ","SFS","GT","SFS-GT",39.6,"24°58.9688","080°24.2398",24,58.9688,80,24.2398,24.9828133333333,-80.4039966666667
"Staceyfish ","SFS","ML","SFS-ML",39.6,"24°58.9776","080°24.2418",24,58.9776,80,24.2418,24.98296,-80.40403
"Cold Pickles ","CP","GT","CP-GT",38.4,"24°59.0732","080°24.1123",24,59.0732,80,24.1123,24.9845533333333,-80.4018716666667
"Cold Pickles ","CP","ML","CP-ML",38.4,"24°59.0724","080°24.1224",24,59.0724,80,24.1224,24.98454,-80.40204
"Pats Big One","PBO","GT","PBO-GT",32.9,"24°42.4596","080°50.8063",24,42.4596,80,50.8063,24.70766,-80.8467716666667
"Pats Big One","PBO","ML","PBO-ML",32.9,"24°42.4584","080°50.8140",24,42.4584,80,50.814,24.70764,-80.8469
"Sand Coral","SC","GT","SC-GT",34.4,"24°42.1715","080°51.4949",24,42.1715,80,51.4949,24.7028583333333,-80.8582483333333
"Sand Coral","SC","ML","SC-ML",34.4,"24°42.1704","080°51.5046",24,42.1704,80,51.5046,24.70284,-80.85841
"Big Rocks","BR","GT","BR-GT",34.7,"24°41.9366","080°52.0817",24,41.9366,80,52.0817,24.6989433333333,-80.8680283333333
"Big Rocks","BR","ML","BR-ML",34.7,"24°41.9358","080°52.0896",24,41.9358,80,52.0896,24.69893,-80.86816
"Weird Reef","WR","GT","WR-GT",32.6,"24°41.8081","080°52.4698",24,41.8081,80,52.4698,24.6968016666667,-80.8744966666667
"Weird Reef","WR","ML","WR-ML",32.6,"24°41.8122","080°52.4766",24,41.8122,80,52.4766,24.69687,-80.87461
